Product Name,Price,Rating,No of Reviews,ASIN,Manufacturer,URL
Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,843,3.6 out of 5 stars,921,‎B08WQ668WJ,‎AtulituAgency,https://www.amazon.in//Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-20
Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),387,4.3 out of 5 stars,7.9K+,‎B07XXFB9CZ,‎No,https://www.amazon.in//SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-21
ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,499,3.9 out of 5 stars,1.1K+,‎B09TPX22NF,‎ADISA,https://www.amazon.in//ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-22
Red Lemon Swisslook Polyester Bange Series 45L 15.6-inch Laptop Bags Backpack for Men and Women Semi Waterproof USB with Anti Theft Pocket Travel Backpack,"2,844",4.3 out of 5 stars,1.7K+,‎B07XYTZP4Z,‎RedLemon,https://www.amazon.in//Swisslook-Polyester-15-6-inch-Backpack-Waterproof/dp/B07XYTZP4Z/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-23
Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,115",4.3 out of 5 stars,6.1K+,‎B075MK4TXP,‎GearMerchandisePVTLTD,https://www.amazon.in//Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-24
Arctic Fox 15 Liters Draw String Bag Lavender Backpack,209,4.2 out of 5 stars,3.5K+,‎B08L6Q9V1H,‎ArcticFox,https://www.amazon.in//Arctic-Fox-Liters-String-Backpack/dp/B08L6Q9V1H/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-25
"Golden Wolf Laptop Bag Anti-theft Backpack with Lock College School Laptop Backpack with Rain Cover Water Resistant Business Backpack with USB Port for 15.6-inch Laptop Office Travel Bag for Men and Women Gifts, Dark Grey","1,999",4.4 out of 5 stars,3.5K+,‎B08HM4TQZZ,‎aharctichunter,https://www.amazon.in//Hoteon-Backpack-Anti-Theft-Earphone-Resistant/dp/B08HM4TQZZ/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-26
Red Lemon Medium Size Unisex Adult Bange Series Rhombus Shell Design Waterproof Sling Bag With Usb Charging,"1,899",4.1 out of 5 stars,95,‎B09VGNTDRZ,‎aharctichunter,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozNzUzNzgyMDIwMDY2NjA0OjE2OTMyMjIwNzc6c3BfbXRmOjIwMDk4NzE5MDg2ODk4OjowOjo&url=%2FRed-Lemon-Unisex-adult-Waterproof-Charging%2Fdp%2FB09VGNTDRZ%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1693222077%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,600",4.1 out of 5 stars,544,‎B0B69M182Q,‎AcefourAccessoriesPvt.Ltd.,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozNzUzNzgyMDIwMDY2NjA0OjE2OTMyMjIwNzc6c3BfbXRmOjIwMDYzNzg0NDU4Mzk4OjowOjo&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B69M182Q%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1693222077%26sprefix%3Dba%252Caps%252C283%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,399",4.2 out of 5 stars,694,‎B0BTD4FK9G,‎EXPERTS,https://www.amazon.in//American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1693222077&sprefix=ba%2Caps%2C283&sr=8-29
